,0,1,2,3,4,5
0,853,58 WPM,94.2%,27,4/5,"March 11, 2020"
1,852,87 WPM,98.9%,41,3/5,"March 11, 2020"
2,851,74 WPM,95.3%,30,1/5,"March 11, 2020"
3,850,74 WPM,95.7%,63,4/5,"March 11, 2020"
4,849,72 WPM,95.8%,65,2/4,"March 11, 2020"
5,848,73 WPM,96.0%,63,3/5,"March 11, 2020"
6,847,78 WPM,96.4%,64,3/5,"March 11, 2020"
7,846,73 WPM,96.6%,53,3/4,"March 11, 2020"
8,845,78 WPM,94.9%,59,3/5,"March 11, 2020"
9,844,88 WPM,97.0%,43,1/5,"March 11, 2020"
10,843,67 WPM,94.5%,67,1/2,"March 11, 2020"
11,842,72 WPM,96.6%,54,1/4,"March 11, 2020"
12,841,68 WPM,95.5%,54,2/5,"March 11, 2020"
13,840,67 WPM,95.7%,55,2/4,"March 11, 2020"
14,839,74 WPM,95.7%,93,2/3,"Aug. 30, 2019"
15,838,84 WPM,97.6%,103,4/5,"Aug. 30, 2019"
16,837,72 WPM,95.0%,47,5/5,"Aug. 30, 2019"
17,836,65 WPM,94.9%,43,4/4,"Aug. 30, 2019"
18,835,83 WPM,96.8%,135,2/2,"Aug. 26, 2019"
19,834,87 WPM,96.5%,95,2/2,"Aug. 26, 2019"
20,833,69 WPM,94.6%,56,2/2,"Aug. 26, 2019"
21,832,74 WPM,95.9%,88,3/4,"Aug. 22, 2019"
22,831,70 WPM,95.2%,114,3/4,"Aug. 22, 2019"
23,830,71 WPM,95.0%,79,3/4,"Aug. 22, 2019"
24,829,50 WPM,96.2%,41,3/2,"Aug. 22, 2019"
25,828,77 WPM,95.5%,59,3/5,"Feb. 7, 2019"
26,827,64 WPM,94.7%,93,1/3,"Jan. 31, 2019"
27,826,62 WPM,95.5%,54,1/5,"Nov. 8, 2018"
28,825,73 WPM,96.2%,66,3/4,"Nov. 8, 2018"
29,824,76 WPM,96.6%,41,1/5,"Nov. 8, 2018"
30,823,77 WPM,97.1%,41,2/5,"Nov. 8, 2018"
31,822,85 WPM,97.0%,64,1/5,"Nov. 8, 2018"
32,821,75 WPM,95.9%,71,5/5,"Nov. 7, 2018"
33,820,72 WPM,95.6%,90,5/5,"Nov. 7, 2018"
34,819,70 WPM,96.3%,75,2/5,"Nov. 2, 2018"
35,818,77 WPM,96.7%,49,3/5,"Nov. 2, 2018"
36,817,57 WPM,94.9%,83,2/5,"Nov. 2, 2018"
37,816,80 WPM,96.4%,71,2/5,"Nov. 2, 2018"
38,815,68 WPM,95.4%,82,1/4,"Nov. 2, 2018"
39,814,70 WPM,93.5%,48,4/5,"Nov. 2, 2018"
40,813,64 WPM,96.1%,81,4/5,"Nov. 2, 2018"
41,812,76 WPM,96.0%,121,1/5,"Nov. 2, 2018"
42,811,73 WPM,97.0%,50,3/5,"Nov. 2, 2018"
43,810,63 WPM,95.4%,63,3/5,"Nov. 1, 2018"
44,809,64 WPM,95.8%,112,4/5,"Nov. 1, 2018"
45,808,62 WPM,95.6%,55,2/2,"Oct. 29, 2018"
46,807,73 WPM,96.4%,59,2/5,"Oct. 25, 2018"
47,806,82 WPM,98.2%,102,1/3,"Oct. 25, 2018"
48,805,69 WPM,96.6%,64,3/4,"Oct. 25, 2018"
49,804,77 WPM,95.3%,81,3/5,"Oct. 25, 2018"
50,803,65 WPM,94.4%,82,2/5,"Oct. 24, 2018"
51,802,70 WPM,94.3%,37,3/3,"Oct. 24, 2018"
52,801,66 WPM,96.4%,44,3/4,"Oct. 24, 2018"
53,800,84 WPM,96.6%,46,2/5,"Oct. 24, 2018"
54,799,79 WPM,96.6%,53,3/5,"Oct. 24, 2018"
55,798,71 WPM,96.7%,62,1/4,"Oct. 24, 2018"
56,797,72 WPM,96.0%,50,4/5,"Oct. 24, 2018"
57,796,74 WPM,95.5%,38,2/5,"Oct. 24, 2018"
58,795,72 WPM,97.1%,63,4/5,"Oct. 24, 2018"
59,794,76 WPM,96.8%,75,1/5,"Oct. 24, 2018"
60,793,89 WPM,98.5%,97,1/3,"Oct. 24, 2018"
61,792,76 WPM,96.7%,107,1/4,"Oct. 24, 2018"
62,791,70 WPM,96.2%,89,1/4,"Oct. 24, 2018"
63,790,66 WPM,95.2%,50,3/4,"Oct. 24, 2018"
64,789,87 WPM,97.7%,45,2/5,"Oct. 24, 2018"
65,788,75 WPM,97.2%,76,3/5,"Oct. 24, 2018"
66,787,67 WPM,96.6%,35,1/5,"Oct. 24, 2018"
67,786,71 WPM,96.6%,80,4/5,"Oct. 19, 2018"
68,785,69 WPM,95.8%,88,2/4,"Oct. 19, 2018"
69,784,68 WPM,94.9%,47,1/4,"Oct. 19, 2018"
70,783,64 WPM,94.4%,40,2/5,"Oct. 19, 2018"
71,782,68 WPM,94.6%,40,3/5,"Oct. 19, 2018"
72,781,65 WPM,95.1%,53,4/4,"Oct. 19, 2018"
73,780,84 WPM,98.1%,60,1/3,"Oct. 19, 2018"
74,779,81 WPM,96.2%,73,1/5,"Oct. 19, 2018"
75,778,81 WPM,97.9%,69,1/4,"Oct. 19, 2018"
76,777,57 WPM,92.8%,36,2/4,"Oct. 19, 2018"
77,776,67 WPM,94.7%,69,1/4,"Oct. 19, 2018"
78,775,66 WPM,95.0%,59,2/5,"Oct. 19, 2018"
79,774,70 WPM,97.3%,63,1/3,"Oct. 18, 2018"
80,773,68 WPM,95.6%,100,1/4,"Oct. 18, 2018"
81,772,74 WPM,95.1%,78,1/5,"Oct. 18, 2018"
82,771,73 WPM,97.2%,112,3/5,"Oct. 18, 2018"
83,770,73 WPM,97.0%,63,4/5,"Oct. 18, 2018"
84,769,68 WPM,96.3%,50,3/5,"Oct. 16, 2018"
85,768,63 WPM,95.4%,67,3/5,"Oct. 16, 2018"
86,767,70 WPM,97.0%,54,4/5,"Oct. 16, 2018"
87,766,75 WPM,96.3%,70,2/2,"Oct. 16, 2018"
88,765,64 WPM,94.5%,44,4/5,"Oct. 16, 2018"
89,764,62 WPM,95.3%,32,4/5,"Oct. 16, 2018"
90,763,68 WPM,95.4%,50,2/5,"Oct. 12, 2018"
91,762,76 WPM,95.5%,52,5/5,"Oct. 12, 2018"
92,761,70 WPM,96.4%,78,4/5,"Oct. 12, 2018"
93,760,76 WPM,93.5%,39,1/5,"Oct. 12, 2018"
94,759,68 WPM,95.6%,32,2/5,"Oct. 12, 2018"
95,758,67 WPM,94.8%,76,1/4,"Oct. 12, 2018"
96,757,69 WPM,96.0%,41,4/5,"Oct. 12, 2018"
97,756,63 WPM,95.5%,43,5/5,"Oct. 12, 2018"
98,755,64 WPM,96.4%,65,4/5,"Oct. 12, 2018"
99,754,70 WPM,94.9%,36,1/5,"Oct. 12, 2018"
100,753,66 WPM,95.2%,58,1/4,"Oct. 12, 2018"
101,752,85 WPM,97.6%,44,1/5,"Oct. 12, 2018"
102,751,56 WPM,94.3%,41,4/4,"Oct. 12, 2018"
103,750,69 WPM,96.1%,112,2/3,"Oct. 12, 2018"
104,749,65 WPM,94.5%,51,4/5,"Sept. 7, 2018"
105,748,78 WPM,96.4%,54,1/4,"Sept. 7, 2018"
106,747,79 WPM,96.7%,58,1/5,"Sept. 6, 2018"
107,746,65 WPM,95.9%,105,1/2,"Sept. 6, 2018"
108,745,72 WPM,95.3%,57,3/5,"Sept. 6, 2018"
109,744,56 WPM,95.0%,50,3/3,"Sept. 6, 2018"
110,743,70 WPM,96.7%,76,3/4,"Sept. 6, 2018"
111,742,63 WPM,93.6%,45,2/5,"Sept. 6, 2018"
112,741,73 WPM,96.4%,84,3/5,"Sept. 6, 2018"
113,740,78 WPM,96.5%,38,3/5,"Sept. 6, 2018"
114,739,71 WPM,96.4%,45,2/4,"Sept. 6, 2018"
115,738,75 WPM,97.4%,50,1/5,"Sept. 6, 2018"
116,737,74 WPM,95.0%,38,4/5,"Sept. 6, 2018"
117,736,72 WPM,96.9%,89,2/5,"Sept. 6, 2018"
118,735,69 WPM,97.1%,40,3/4,"Sept. 6, 2018"
119,734,60 WPM,96.3%,38,3/5,"Aug. 7, 2018"
120,733,65 WPM,94.1%,43,4/5,"Aug. 7, 2018"
121,732,65 WPM,94.7%,66,4/5,"Aug. 7, 2018"
122,731,61 WPM,94.3%,30,4/5,"July 30, 2018"
123,730,74 WPM,96.2%,117,4/5,"July 30, 2018"
124,729,78 WPM,96.7%,80,3/4,"July 30, 2018"
125,728,72 WPM,97.4%,49,4/5,"July 30, 2018"
126,727,100 WPM,100.0%,90,1/5,"July 25, 2018"
127,726,76 WPM,99.6%,63,1/5,"July 25, 2018"
128,725,76 WPM,97.2%,133,5/5,"July 25, 2018"
129,724,71 WPM,94.3%,46,2/3,"July 25, 2018"
130,723,77 WPM,97.6%,63,1/5,"May 31, 2018"
131,722,75 WPM,97.0%,79,3/4,"May 31, 2018"
132,721,73 WPM,95.1%,39,3/5,"May 31, 2018"
133,720,79 WPM,96.7%,25,1/5,"May 17, 2018"
134,719,68 WPM,96.2%,60,3/5,"May 17, 2018"
135,718,67 WPM,96.1%,44,3/5,"May 17, 2018"
136,717,60 WPM,97.3%,38,3/4,"May 11, 2018"
137,716,67 WPM,96.2%,71,1/5,"May 11, 2018"
138,715,71 WPM,97.0%,58,3/4,"Oct. 19, 2017"
139,714,68 WPM,91.2%,N/A,2/5,"Nov. 9, 2016"
140,713,61 WPM,91.5%,N/A,1/5,"Nov. 9, 2016"
141,712,65 WPM,89.2%,N/A,1/5,"Nov. 9, 2016"
142,711,63 WPM,91.3%,N/A,1/4,"Nov. 9, 2016"
143,710,70 WPM,94.4%,N/A,4/5,"Nov. 9, 2016"
144,709,65 WPM,92.2%,N/A,1/4,"Nov. 9, 2016"
145,708,50 WPM,89.5%,N/A,5/5,"Nov. 7, 2016"
146,707,69 WPM,91.3%,N/A,1/5,"Nov. 7, 2016"
147,706,57 WPM,88.4%,N/A,2/4,"Nov. 4, 2016"
148,705,60 WPM,92.0%,N/A,1/3,"Nov. 4, 2016"
149,704,64 WPM,90.8%,N/A,1/5,"Nov. 4, 2016"
150,703,52 WPM,88.2%,N/A,2/4,"Nov. 4, 2016"
151,702,63 WPM,89.1%,N/A,1/4,"Nov. 4, 2016"
152,701,64 WPM,89.7%,N/A,2/5,"May 9, 2016"
153,700,59 WPM,83.2%,N/A,1/2,"May 9, 2016"
154,699,73 WPM,91.0%,N/A,1/2,"May 9, 2016"
155,698,65 WPM,89.5%,N/A,1/2,"May 9, 2016"
156,697,69 WPM,90.3%,N/A,1/2,"May 9, 2016"
157,696,56 WPM,88.9%,N/A,4/5,"March 25, 2016"
158,695,68 WPM,92.7%,N/A,2/4,"March 25, 2016"
159,694,52 WPM,87.5%,N/A,3/3,"March 25, 2016"
160,693,59 WPM,90.7%,N/A,3/3,"March 25, 2016"
161,692,51 WPM,89.4%,N/A,2/3,"Nov. 27, 2015"
162,691,53 WPM,88.8%,N/A,4/5,"Nov. 27, 2015"
163,690,70 WPM,94.4%,N/A,2/3,"Nov. 26, 2015"
164,689,59 WPM,91.6%,N/A,1/3,"Nov. 26, 2015"
165,688,60 WPM,93.6%,N/A,1/4,"Nov. 26, 2015"
166,687,64 WPM,91.2%,N/A,1/3,"Nov. 26, 2015"
167,686,62 WPM,92.7%,N/A,3/3,"Nov. 26, 2015"
168,685,70 WPM,95.7%,N/A,2/5,"Nov. 26, 2015"
169,684,66 WPM,90.0%,N/A,1/2,"Nov. 26, 2015"
170,683,55 WPM,93.3%,N/A,1/4,"Nov. 26, 2015"
171,682,67 WPM,94.1%,N/A,2/5,"Nov. 26, 2015"
172,681,58 WPM,89.9%,N/A,3/4,"Nov. 26, 2015"
173,680,60 WPM,93.6%,N/A,3/3,"Nov. 26, 2015"
174,679,53 WPM,87.4%,N/A,2/3,"Nov. 26, 2015"
175,678,71 WPM,93.9%,N/A,2/3,"Nov. 26, 2015"
176,677,57 WPM,89.2%,N/A,1/4,"Nov. 26, 2015"
177,676,59 WPM,92.4%,N/A,1/3,"Nov. 26, 2015"
178,675,65 WPM,92.6%,N/A,1/2,"Nov. 26, 2015"
179,674,56 WPM,86.6%,N/A,1/2,"Nov. 26, 2015"
180,673,67 WPM,91.6%,N/A,1/5,"Nov. 26, 2015"
181,672,60 WPM,91.3%,N/A,1/3,"Nov. 26, 2015"
182,671,53 WPM,88.1%,N/A,3/5,"Nov. 26, 2015"
183,670,68 WPM,93.8%,N/A,1/3,"Nov. 26, 2015"
184,669,72 WPM,93.6%,N/A,2/3,"Nov. 26, 2015"
185,668,52 WPM,89.6%,N/A,2/3,"Nov. 26, 2015"
186,667,55 WPM,90.3%,N/A,3/3,"Nov. 26, 2015"
187,666,53 WPM,86.5%,N/A,3/3,"Nov. 26, 2015"
188,665,56 WPM,88.7%,N/A,4/4,"Nov. 26, 2015"
189,664,63 WPM,93.2%,N/A,1/4,"Nov. 26, 2015"
190,663,61 WPM,88.6%,N/A,4/4,"Nov. 26, 2015"
191,662,63 WPM,90.0%,N/A,1/4,"Nov. 2, 2015"
192,661,62 WPM,84.6%,N/A,3/3,"Nov. 2, 2015"
193,660,60 WPM,89.2%,N/A,2/3,"Nov. 2, 2015"
194,659,60 WPM,88.1%,N/A,4/5,"Nov. 2, 2015"
195,658,59 WPM,89.7%,N/A,3/5,"Nov. 2, 2015"
196,657,59 WPM,88.1%,N/A,2/4,"Nov. 2, 2015"
197,656,67 WPM,87.7%,N/A,2/4,"Nov. 2, 2015"
198,655,54 WPM,84.3%,N/A,4/5,"Nov. 2, 2015"
199,654,70 WPM,92.3%,N/A,3/4,"Nov. 2, 2015"
200,653,54 WPM,89.3%,N/A,2/3,"Nov. 2, 2015"
201,652,60 WPM,83.0%,N/A,2/4,"Nov. 2, 2015"
202,651,70 WPM,92.0%,N/A,2/5,"Nov. 2, 2015"
203,650,68 WPM,92.3%,N/A,1/4,"Nov. 2, 2015"
204,649,61 WPM,88.9%,N/A,2/4,"Nov. 2, 2015"
205,648,50 WPM,83.4%,N/A,2/4,"Nov. 2, 2015"
206,647,68 WPM,93.1%,N/A,1/2,"Nov. 2, 2015"
207,646,57 WPM,88.3%,N/A,4/5,"Nov. 2, 2015"
208,645,59 WPM,87.1%,N/A,3/3,"Nov. 2, 2015"
209,644,65 WPM,91.6%,N/A,2/5,"Nov. 2, 2015"
210,643,60 WPM,87.6%,N/A,4/5,"Oct. 23, 2015"
211,642,52 WPM,86.7%,N/A,2/5,"Oct. 23, 2015"
212,641,67 WPM,90.8%,N/A,1/5,"Oct. 23, 2015"
213,640,57 WPM,90.5%,N/A,2/5,"Oct. 23, 2015"
214,639,49 WPM,87.7%,N/A,3/5,"Oct. 23, 2015"
215,638,62 WPM,90.8%,N/A,2/5,"Oct. 23, 2015"
216,637,55 WPM,87.4%,N/A,5/5,"Oct. 14, 2015"
217,636,48 WPM,87.6%,N/A,3/5,"Oct. 12, 2015"
218,635,61 WPM,92.9%,N/A,2/5,"Oct. 2, 2015"
219,634,64 WPM,93.0%,N/A,4/5,"Sept. 30, 2015"
220,633,53 WPM,83.3%,N/A,4/4,"Aug. 23, 2015"
221,632,58 WPM,87.2%,N/A,2/3,"Aug. 23, 2015"
222,631,68 WPM,92.2%,N/A,2/2,"Aug. 23, 2015"
223,630,56 WPM,88.2%,N/A,2/4,"Aug. 23, 2015"
224,629,60 WPM,88.4%,N/A,5/5,"Aug. 23, 2015"
225,628,64 WPM,89.5%,N/A,2/2,"Aug. 23, 2015"
226,627,56 WPM,91.5%,N/A,3/3,"Aug. 23, 2015"
227,626,52 WPM,87.4%,N/A,2/4,"Aug. 23, 2015"
228,625,58 WPM,86.0%,N/A,5/5,"Aug. 23, 2015"
229,624,61 WPM,89.2%,N/A,3/5,"Aug. 23, 2015"
230,623,61 WPM,91.0%,N/A,4/4,"Aug. 23, 2015"
231,622,50 WPM,83.4%,N/A,2/3,"Aug. 12, 2015"
232,621,61 WPM,89.3%,N/A,4/5,"Aug. 12, 2015"
233,620,53 WPM,82.5%,N/A,5/5,"Aug. 12, 2015"
234,619,60 WPM,88.8%,N/A,5/5,"Aug. 12, 2015"
235,618,56 WPM,85.6%,N/A,5/5,"Aug. 8, 2015"
236,617,58 WPM,89.3%,N/A,2/4,"Aug. 8, 2015"
237,616,56 WPM,89.9%,N/A,1/4,"Aug. 8, 2015"
238,615,60 WPM,90.8%,N/A,2/5,"Aug. 8, 2015"
239,614,57 WPM,88.3%,N/A,4/5,"Aug. 8, 2015"
240,613,49 WPM,84.2%,N/A,4/4,"Aug. 8, 2015"
241,612,66 WPM,89.9%,N/A,3/3,"Aug. 8, 2015"
242,611,63 WPM,89.9%,N/A,1/5,"Aug. 8, 2015"
243,610,57 WPM,86.5%,N/A,3/5,"Aug. 8, 2015"
244,609,58 WPM,87.7%,N/A,2/4,"Aug. 8, 2015"
245,608,64 WPM,91.9%,N/A,1/3,"Aug. 8, 2015"
246,607,58 WPM,88.5%,N/A,4/4,"Aug. 8, 2015"
247,606,62 WPM,92.2%,N/A,2/4,"Aug. 8, 2015"
248,605,58 WPM,89.0%,N/A,3/4,"Aug. 8, 2015"
249,604,56 WPM,80.7%,N/A,4/4,"Aug. 8, 2015"
250,603,58 WPM,86.8%,N/A,4/5,"Aug. 8, 2015"
251,602,62 WPM,87.7%,N/A,3/5,"Aug. 8, 2015"
252,601,59 WPM,87.5%,N/A,4/4,"Aug. 8, 2015"
253,600,72 WPM,92.3%,N/A,1/2,"Aug. 8, 2015"
254,599,58 WPM,87.4%,N/A,3/3,"Aug. 8, 2015"
255,598,54 WPM,85.7%,N/A,4/4,"Aug. 8, 2015"
256,597,57 WPM,85.4%,N/A,2/2,"Aug. 8, 2015"
257,596,61 WPM,90.5%,N/A,2/5,"Aug. 6, 2015"
258,595,66 WPM,87.9%,N/A,1/2,"Aug. 6, 2015"
259,594,45 WPM,84.4%,N/A,3/3,"Aug. 6, 2015"
260,593,57 WPM,88.3%,N/A,1/2,"Aug. 6, 2015"
261,592,64 WPM,88.2%,N/A,4/5,"Aug. 6, 2015"
262,591,60 WPM,87.6%,N/A,2/4,"Aug. 6, 2015"
263,590,58 WPM,87.2%,N/A,3/5,"Aug. 6, 2015"
264,589,63 WPM,89.3%,N/A,1/4,"Aug. 6, 2015"
265,588,53 WPM,82.7%,N/A,4/5,"Aug. 6, 2015"
266,587,60 WPM,87.6%,N/A,2/2,"Aug. 6, 2015"
267,586,58 WPM,88.4%,N/A,3/5,"Aug. 6, 2015"
268,585,62 WPM,87.3%,N/A,2/2,"Aug. 6, 2015"
269,584,58 WPM,85.9%,N/A,1/5,"Aug. 6, 2015"
270,583,67 WPM,91.2%,N/A,3/3,"Aug. 6, 2015"
271,582,58 WPM,85.9%,N/A,4/5,"Aug. 6, 2015"
272,581,52 WPM,80.4%,N/A,1/2,"Aug. 6, 2015"
273,580,65 WPM,89.8%,N/A,1/4,"Aug. 6, 2015"
274,579,53 WPM,85.9%,N/A,2/3,"Aug. 6, 2015"
275,578,58 WPM,85.0%,N/A,1/4,"Aug. 6, 2015"
276,577,55 WPM,85.8%,N/A,5/5,"Aug. 6, 2015"
277,576,57 WPM,88.6%,N/A,3/5,"Aug. 6, 2015"
278,575,59 WPM,88.7%,N/A,3/5,"Aug. 1, 2015"
279,574,56 WPM,85.6%,N/A,3/4,"Aug. 1, 2015"
280,573,56 WPM,83.4%,N/A,4/4,"Aug. 1, 2015"
281,572,56 WPM,87.4%,N/A,2/3,"Aug. 1, 2015"
282,571,59 WPM,89.8%,N/A,2/4,"Aug. 1, 2015"
283,570,54 WPM,87.0%,N/A,1/4,"Aug. 1, 2015"
284,569,58 WPM,90.6%,N/A,2/3,"Aug. 1, 2015"
285,568,63 WPM,90.5%,N/A,2/3,"Aug. 1, 2015"
286,567,52 WPM,83.1%,N/A,1/2,"Aug. 1, 2015"
287,566,49 WPM,81.8%,N/A,2/3,"Aug. 1, 2015"
288,565,62 WPM,88.5%,N/A,1/5,"Aug. 1, 2015"
289,564,63 WPM,87.9%,N/A,4/5,"Aug. 1, 2015"
290,563,58 WPM,87.5%,N/A,2/4,"Aug. 1, 2015"
291,562,60 WPM,87.7%,N/A,1/2,"Aug. 1, 2015"
292,561,59 WPM,86.5%,N/A,1/4,"Aug. 1, 2015"
293,560,56 WPM,90.3%,N/A,1/4,"Aug. 1, 2015"
294,559,58 WPM,87.9%,N/A,1/4,"Aug. 1, 2015"
295,558,62 WPM,90.8%,N/A,2/4,"July 30, 2015"
296,557,58 WPM,86.4%,N/A,1/3,"July 30, 2015"
297,556,54 WPM,84.9%,N/A,1/3,"July 30, 2015"
298,555,51 WPM,85.2%,N/A,2/4,"July 30, 2015"
299,554,56 WPM,85.4%,N/A,3/3,"July 30, 2015"
300,553,51 WPM,84.9%,N/A,2/5,"July 30, 2015"
301,552,50 WPM,85.1%,N/A,2/5,"July 30, 2015"
302,551,60 WPM,87.6%,N/A,4/4,"July 30, 2015"
303,550,54 WPM,86.2%,N/A,1/3,"July 30, 2015"
304,549,54 WPM,88.2%,N/A,1/4,"July 30, 2015"
305,548,48 WPM,81.9%,N/A,2/2,"July 30, 2015"
306,547,58 WPM,87.7%,N/A,1/5,"July 30, 2015"
307,546,62 WPM,87.6%,N/A,2/2,"July 30, 2015"
308,545,59 WPM,87.5%,N/A,3/3,"July 30, 2015"
309,544,52 WPM,86.4%,N/A,4/5,"July 30, 2015"
310,543,68 WPM,93.4%,N/A,4/5,"July 30, 2015"
311,542,56 WPM,84.3%,N/A,4/5,"July 30, 2015"
312,541,56 WPM,86.2%,N/A,2/2,"July 30, 2015"
313,540,61 WPM,89.7%,N/A,4/5,"July 30, 2015"
314,539,49 WPM,85.9%,N/A,4/5,"July 17, 2015"
